Date,Total,Emmanuel Macron,Marine Le Pen,Eric Zemmour,Valerie Pecresse,Jean-Luc Melenchon,Yannick Jadot,Fabien Roussel,Nicolas Dupont-Aignan,Anne Hidalgo,Jean Lassalle,Philippe Poutou,Nathalie Arthaud
06/09/2021,87.4,24,22.2,11,8.4,4.2,3.8,5,3.8,1,1,1,2
07/09/2021,87.4,24,22.2,11,8.4,4.2,3.8,5,3.8,1,1,1,2
08/09/2021,87.4,24,22.2,11,8.4,4.2,3.8,5,3.8,1,1,1,2
09/09/2021,87.4,24,22.2,11,8.4,4.2,3.8,5,3.8,1,1,1,2
10/09/2021,87.4,24,22.2,11,8.4,4.2,3.8,5,3.8,1,1,1,2
11/09/2021,87.4,24,22.2,11,8.4,4.2,3.8,5,3.8,1,1,1,2
12/09/2021,87.4,24,22.2,11,8.4,4.2,3.8,5,3.8,1,1,1,2
13/09/2021,90.73,26.27,23.18,10.64,8.45,4.91,4.27,5.45,3.55,1.55,1.09,0.73,0.64
14/09/2021,90.73,26.27,23.18,10.64,8.45,4.91,4.27,5.45,3.55,1.55,1.09,0.73,0.64
15/09/2021,90.73,26.27,23.18,10.64,8.45,4.91,4.27,5.45,3.55,1.55,1.09,0.73,0.64
16/09/2021,90.73,26.27,23.18,10.64,8.45,4.91,4.27,5.45,3.55,1.55,1.09,0.73,0.64
17/09/2021,90.73,26.27,23.18,10.64,8.45,4.91,4.27,5.45,3.55,1.55,1.09,0.73,0.64
18/09/2021,90.73,26.27,23.18,10.64,8.45,4.91,4.27,5.45,3.55,1.55,1.09,0.73,0.64
19/09/2021,90.73,26.27,23.18,10.64,8.45,4.91,4.27,5.45,3.55,1.55,1.09,0.73,0.64
20/09/2021,87.67,23,18.33,11,11.33,6.67,3.67,4.33,3,2.67,0.67,1,2
21/09/2021,87.67,23,18.33,11,11.33,6.67,3.67,4.33,3,2.67,0.67,1,2
22/09/2021,87.67,23,18.33,11,11.33,6.67,3.67,4.33,3,2.67,0.67,1,2
23/09/2021,103.04,25.75,22.5,10.13,9.06,5.56,3.75,4.19,3.5,1.63,2,6.88,8.1
24/09/2021,103.04,25.75,22.5,10.13,9.06,5.56,3.75,4.19,3.5,1.63,2,6.88,8.1
25/09/2021,103.04,25.75,22.5,10.13,9.06,5.56,3.75,4.19,3.5,1.63,2,6.88,8.1
26/09/2021,103.04,25.75,22.5,10.13,9.06,5.56,3.75,4.19,3.5,1.63,2,6.88,8.1
27/09/2021,89.67,24.33,16,13.33,12.67,8.33,3,2.33,5.33,2.33,0.67,1,0.33
28/09/2021,89.67,24.33,16,13.33,12.67,8.33,3,2.33,5.33,2.33,0.67,1,0.33
29/09/2021,89.67,24.33,16,13.33,12.67,8.33,3,2.33,5.33,2.33,0.67,1,0.33
30/09/2021,95.58,25.42,21.17,12.67,9.42,6.58,3.75,3.42,3.33,1.75,1,1.17,5.92
01/10/2021,95.36,26.14,21.5,11.79,8.29,6.29,3.21,3.64,4.07,1.71,0.86,1.5,6.36
02/10/2021,95.36,26.14,21.5,11.79,8.29,6.29,3.21,3.64,4.07,1.71,0.86,1.5,6.36
03/10/2021,95.36,26.14,21.5,11.79,8.29,6.29,3.21,3.64,4.07,1.71,0.86,1.5,6.36
04/10/2021,91.33,25.33,15.33,17.33,11,8,3.67,2,4.67,2,0.67,1,0.33
05/10/2021,91.33,25.33,15.33,17.33,11,8,3.67,2,4.67,2,0.67,1,0.33
06/10/2021,90.31,26.5,19.63,12,8.75,7,4.13,3.44,3.75,2.25,0.94,0.88,1.06
07/10/2021,90.31,26.5,19.63,12,8.75,7,4.13,3.44,3.75,2.25,0.94,0.88,1.06
08/10/2021,90.31,26.5,19.63,12,8.75,7,4.13,3.44,3.75,2.25,0.94,0.88,1.06
09/10/2021,90.31,26.5,19.63,12,8.75,7,4.13,3.44,3.75,2.25,0.94,0.88,1.06
10/10/2021,90.31,26.5,19.63,12,8.75,7,4.13,3.44,3.75,2.25,0.94,0.88,1.06
11/10/2021,89.83,27,20.75,12.83,9.13,6.04,3.5,3.13,2.96,1.42,0.96,0.88,1.25
12/10/2021,89.83,27,20.75,12.83,9.13,6.04,3.5,3.13,2.96,1.42,0.96,0.88,1.25
13/10/2021,94.5,26.06,19.39,14.17,8.83,6.94,3.94,3.39,3.61,1.89,0.89,1.06,4.33
14/10/2021,94.5,26.06,19.39,14.17,8.83,6.94,3.94,3.39,3.61,1.89,0.89,1.06,4.33
15/10/2021,91,24.33,17.33,16.67,8.67,7.5,3.67,2.5,5,2.67,0.67,0.67,1.33
16/10/2021,91,24.33,17.33,16.67,8.67,7.5,3.67,2.5,5,2.67,0.67,0.67,1.33
17/10/2021,91,24.33,17.33,16.67,8.67,7.5,3.67,2.5,5,2.67,0.67,0.67,1.33
18/10/2021,89.67,24.33,16,17.33,10,9,4.33,1.67,3.67,1.33,0.67,1,0.33
19/10/2021,89.67,24.33,16,17.33,10,9,4.33,1.67,3.67,1.33,0.67,1,0.33
20/10/2021,102,25.5,20.75,11.75,8.5,6.75,4.5,3.5,3.75,2.5,1.5,5,8
21/10/2021,102,25.5,20.75,11.75,8.5,6.75,4.5,3.5,3.75,2.5,1.5,5,8
22/10/2021,102,25.5,20.75,11.75,8.5,6.75,4.5,3.5,3.75,2.5,1.5,5,8
23/10/2021,102,25.5,20.75,11.75,8.5,6.75,4.5,3.5,3.75,2.5,1.5,5,8
24/10/2021,102,25.5,20.75,11.75,8.5,6.75,4.5,3.5,3.75,2.5,1.5,5,8
25/10/2021,90.67,24.33,16,17.33,10,9,4.33,1.67,4.33,1.67,0.67,1,0.33
26/10/2021,90.67,24.33,16,17.33,10,9,4.33,1.67,4.33,1.67,0.67,1,0.33
27/10/2021,89,24.33,19,15.33,8,6.33,4,2.67,4,2.67,1.33,1,0.33
